ano,sigla_uf,id_municipio,indicador,prop_pessoas_proximas_ciclovias
2019,RR,140010,PNB Mulheres negras,15
2019,DF,530010,PNB Mulheres negras,26
2019,MS,500270,PNB Mulheres negras,13
2019,MT,510340,PNB Mulheres negras,2
2019,PR,410690,PNB Mulheres negras,13
2019,SC,420540,PNB Mulheres negras,9
2019,CE,230440,PNB Mulheres negras,36
2019,GO,520870,PNB Mulheres negras,4
2019,PB,250750,PNB Mulheres negras,7
2019,AP,160030,PNB Mulheres negras,0
2019,AL,270430,PNB Mulheres negras,6
2019,AM,130260,PNB Mulheres negras,1
2019,RN,240810,PNB Mulheres negras,2
2019,TO,172100,PNB Mulheres negras,1
2019,RS,431490,PNB Mulheres negras,10
2019,RO,110020,PNB Mulheres negras,0
2019,PE,261160,PNB Mulheres negras,19
2019,AC,120040,PNB Mulheres negras,4
2019,RJ,330455,PNB Mulheres negras,12
2019,BA,292740,PNB Mulheres negras,18
2019,MA,211130,PNB Mulheres negras,1
2019,SP,355030,PNB Mulheres negras,15
2019,PI,221100,PNB Mulheres negras,8
2019,ES,320530,PNB Mulheres negras,17
2019,SE,280030,PNB Mulheres menos 1 salário mínimo,19
2019,PA,150140,PNB Mulheres menos 1 salário mínimo,29
2019,MG,310620,PNB Mulheres menos 1 salário mínimo,11
2019,RR,140010,PNB Mulheres menos 1 salário mínimo,14
2019,DF,530010,PNB Mulheres menos 1 salário mínimo,26
2019,MS,500270,PNB Mulheres menos 1 salário mínimo,13
2019,MT,510340,PNB Mulheres menos 1 salário mínimo,2
2019,PR,410690,PNB Mulheres menos 1 salário mínimo,16
2019,SC,420540,PNB Mulheres menos 1 salário mínimo,13
2019,CE,230440,PNB Mulheres menos 1 salário mínimo,37
2019,GO,520870,PNB Mulheres menos 1 salário mínimo,5
2019,PB,250750,PNB Mulheres menos 1 salário mínimo,8
2019,AP,160030,PNB Mulheres menos 1 salário mínimo,0
2019,AL,270430,PNB Mulheres menos 1 salário mínimo,6
2019,AM,130260,PNB Mulheres menos 1 salário mínimo,1
2019,RN,240810,PNB Mulheres menos 1 salário mínimo,2
2019,TO,172100,PNB Mulheres menos 1 salário mínimo,1
2019,RS,431490,PNB Mulheres menos 1 salário mínimo,11
2019,RO,110020,PNB Mulheres menos 1 salário mínimo,0
2019,PE,261160,PNB Mulheres menos 1 salário mínimo,20
2019,AC,120040,PNB Mulheres menos 1 salário mínimo,4
2019,RJ,330455,PNB Mulheres menos 1 salário mínimo,13
