ano,sigla_uf,id_municipio,taxa_motorizacao
2001,SE,2800308,299.209689577341
2001,PA,1501402,103.110907342864
2001,MG,3106200,291.754192496471
2001,RR,1400100,180.122198029868
2001,DF,5300108,290.959914600941
2001,MS,5002704,258.654371313197
2001,MT,5103403,221.077959967052
2001,PR,4106902,415.39939971078
2001,SC,4205407,378.143081319292
2001,CE,2304400,161.800722839039
2001,GO,5208707,391.41632677295
2001,PB,2507507,166.91168360384
2001,AP,1600303,91.5450594461605
2001,AL,2704302,121.921501656383
2001,AM,1302603,115.187216159145
2001,RN,2408102,186.635906412018
2001,TO,1721000,162.740913549482
2001,RS,4314902,327.853155107394
2001,RO,1100205,131.877731809364
2001,PE,2611606,187.595933731796
2001,AC,1200401,139.157709520713
2001,RJ,3304557,226.995236104882
2001,BA,2927408,132.727495089918
2001,MA,2111300,103.266230209565
2001,SP,3550308,361.621383403753
2001,PI,2211001,138.124055915849
2001,ES,3205309,288.981527775901
2002,SE,2800308,312.934211831026
2002,PA,1501402,106.268848998588
2002,MG,3106200,303.559078087327
2002,RR,1400100,197.766394302255
2002,DF,5300108,303.611314735169
2002,MS,5002704,275.633926263701
2002,MT,5103403,232.871865805296
2002,PR,4106902,433.421500668856
2002,SC,4205407,404.471978724407
2002,CE,2304400,169.171430154556
2002,GO,5208707,404.876053110228
2002,PB,2507507,175.738915659342
2002,AP,1600303,100.677467439486
2002,AL,2704302,129.474438381252
2002,AM,1302603,123.026857110233
2002,RN,2408102,197.037460602719
2002,TO,1721000,184.668946300353
2002,RS,4314902,338.069787647439
2002,RO,1100205,145.343889789676
2002,PE,2611606,196.684228867566
2002,AC,1200401,147.841189213416
2002,RJ,3304557,237.130201458486
2002,BA,2927408,139.597874075978
2002,MA,2111300,109.022278551944
2002,SP,3550308,375.232876040324
2002,PI,2211001,152.612916477482
2002,ES,3205309,303.503843237339
2003,SE,2800308,331.435884502269
2003,PA,1501402,110.06018468159
2003,MG,3106200,318.414944496776
2003,RR,1400100,218.353413836319
2003,DF,5300108,316.530953438893
2003,MS,5002704,288.758100499309
2003,MT,5103403,243.734207605538
2003,PR,4106902,445.684343050538
2003,SC,4205407,425.318746579536
2003,CE,2304400,175.106471716352
2003,GO,5208707,416.823574782786
2003,PB,2507507,184.984049946091
2003,AP,1600303,108.783696876343
2003,AL,2704302,136.816933299127
2003,AM,1302603,130.674504391369
2003,RN,2408102,204.762659205096
2003,TO,1721000,202.078106123966
2003,RS,4314902,347.749240541287
2003,RO,1100205,156.559620975192
2003,PE,2611606,202.637341581584
2003,AC,1200401,157.436579191783
2003,RJ,3304557,244.065991070426
2003,BA,2927408,145.085195012261
2003,MA,2111300,115.903612892328
2003,SP,3550308,387.70287849071
2003,PI,2211001,164.826259142155
2003,ES,3205309,313.604266553879
2004,SE,2800308,235.095487275817
2004,PA,1501402,112.419778980181
2004,MG,3106200,325.901358142131
2004,RR,1400100,224.700510750299
2004,DF,5300108,322.869929611503
2004,MS,5002704,298.355680747081
2004,MT,5103403,255.87707227074
2004,PR,4106902,462.59025714964
2004,SC,4205407,427.158043281048
2004,CE,2304400,177.308537003083
2004,GO,5208707,424.100122054649
2004,PB,2507507,189.046981105927
2004,AP,1600303,119.874657697892
2004,AL,2704302,137.891261081961
2004,AM,1302603,138.134004791043
2004,RN,2408102,210.225811630885
2004,TO,1721000,223.087950799141
2004,RS,4314902,353.078977634971
2004,RO,1100205,162.482540616041
2004,PE,2611606,206.835302908326
2004,AC,1200401,165.120489929461
2004,RJ,3304557,248.274489915472
2004,BA,2927408,148.368569258436
2004,MA,2111300,120.126281898899
2004,SP,3550308,396.397461992488
2004,PI,2211001,172.802030234295
2004,ES,3205309,322.674446781494
2005,SE,2800308,244.529390175665
2005,PA,1501402,118.155221922922
2005,MG,3106200,339.808085532573
2005,RR,1400100,234.838693693508
2005,DF,5300108,335.422963703352
2005,MS,5002704,316.271166547519
2005,MT,5103403,277.000749344324
2005,PR,4106902,489.900472380744
2005,SC,4205407,442.663151686837
2005,CE,2304400,183.817386852069
2005,GO,5208707,440.347508671897
2005,PB,2507507,197.544484093475
2005,AP,1600303,126.961126367442
2005,AL,2704302,143.377205264632
2005,AM,1302603,149.591716372082
2005,RN,2408102,218.18672561822
2005,TO,1721000,267.460908413999
2005,RS,4314902,363.201128861563
2005,RO,1100205,185.66687259472
2005,PE,2611606,214.124774817989
2005,AC,1200401,169.13561267912
2005,RJ,3304557,254.319898171748
2005,BA,2927408,155.364757102889
2005,MA,2111300,129.59633192484
2005,SP,3550308,411.292383728565
2005,PI,2211001,184.139162978449
2005,ES,3205309,338.458150342151
2006,SE,2800308,259.219531117031
2006,PA,1501402,125.866023321721
2006,MG,3106200,364.229640988033
2006,RR,1400100,252.075864693277
2006,DF,5300108,354.720478029889
2006,MS,5002704,335.012094134312
2006,MT,5103403,294.123173335347
2006,PR,4106902,513.042063471208
2006,SC,4205407,459.890693716119
2006,CE,2304400,193.036178276484
2006,GO,5208707,462.657692648057
2006,PB,2507507,211.202221160842
2006,AP,1600303,141.758083650273
2006,AL,2704302,144.164829184635
2006,AM,1302603,161.546415686126
2006,RN,2408102,231.982438194395
2006,TO,1721000,350.605960459778
2006,RS,4314902,373.416917718238
2006,RO,1100205,205.318473176647
2006,PE,2611606,223.318407553008
2006,AC,1200401,184.317171080487
2006,RJ,3304557,261.043806948805
2006,BA,2927408,164.085131344007
2006,MA,2111300,141.948246417965
2006,SP,3550308,433.084653366801
2006,PI,2211001,200.406249103771
2006,ES,3205309,356.986297049687
2007,SE,2800308,274.753364866241
2007,PA,1501402,141.567537142074
2007,MG,3106200,398.578164286925
2007,RR,1400100,294.2570231296
2007,DF,5300108,377.083296856594
2007,MS,5002704,387.076204514964
2007,MT,5103403,333.170092819316
2007,PR,4106902,552.132849080454
2007,SC,4205407,508.082465599423
2007,CE,2304400,207.653979267217
2007,GO,5208707,494.050914116073
2007,PB,2507507,233.314857683153
2007,AP,1600303,173.478075158432
2007,AL,2704302,160.235906640727
2007,AM,1302603,183.720170387258
2007,RN,2408102,260.879841907444
2007,TO,1721000,452.54672451874
2007,RS,4314902,397.16344505785
2007,RO,1100205,240.55557811802
2007,PE,2611606,235.02393093285
2007,AC,1200401,227.780855287831
2007,RJ,3304557,275.907725513468
2007,BA,2927408,166.043645477724
2007,MA,2111300,167.911729842352
2007,SP,3550308,469.843250155835
2007,PI,2211001,230.228261440959
2007,ES,3205309,390.55922456232
2008,SE,2800308,290.762595825144
2008,PA,1501402,155.189435751381
2008,MG,3106200,436.426382195
2008,RR,1400100,321.408040470624
2008,DF,5300108,393.7785619817
2008,MS,5002704,409.334184523594
2008,MT,5103403,362.497865942648
2008,PR,4106902,577.595110092927
2008,SC,4205407,537.189384261307
2008,CE,2304400,222.429611087259
2008,GO,5208707,533.574523033933
2008,PB,2507507,254.555737993484
